condition,seed,step,grad_norm,loss,raw_reward,run
B,20260820,55,0.561831533908844,0.02448113076388836,0.47265625,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,56,2.972630262374878,0.05016577988862991,0.65234375,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,57,0.586186408996582,-0.015770554542541504,0.4609375,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,58,0.4684887230396271,0.012134733609855175,0.4765625,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260820,59,0.9306910634040833,0.04312645643949509,0.53125,CURVE60-BR-e2be8cd-20260821-1120-GPU01247-B60-GPU01247-seed20260820-attempt1
B,20260821,0,0.542076051235199,0.07081609219312668,0.5390625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,1,0.7464346885681152,0.02146446704864502,0.3671875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,2,0.4427310824394226,0.0401880256831646,0.30859375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,3,0.9760047793388367,0.0248207189142704,0.46484375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,4,0.2991259694099426,0.01465029176324606,0.32421875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,5,0.4983591139316559,0.009168311022222042,0.3828125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,6,0.4529203474521637,-0.006110635586082935,0.40234375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,7,0.3436594009399414,0.03105446882545948,0.26171875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,8,0.3758862614631653,0.01276917289942503,0.32421875,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,9,0.4884752631187439,0.052132997661828995,0.4375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,10,0.6001721024513245,0.049393508583307266,0.3203125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,11,0.7920637130737305,0.018431784585118294,0.3984375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,12,0.8378311991691589,0.0046936580911278725,0.34375,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,13,0.4688231647014618,0.008416959084570408,0.3828125,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,14,0.3955099582672119,0.028920140117406845,0.41015625,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
B,20260821,15,0.47800710797309875,-0.007832188159227371,0.5,CURVE60-FULL2-e2be8cd-20260821-192422-GPU01247-B60-GPU01247-seed20260821-attempt1
